Naam;Functie
Maria Anders;Sales Representative
Ana Trujillo;Owner
Antonio Moreno;Owner
Thomas Hardy;Sales Representative
Christina Berglund;Order Administrator
Hanna Moos;Sales Representative
Frdrique Citeaux;Marketing Manager
Martn Sommer;Owner
Laurence Lebihan;Owner
Elizabeth Lincoln;Accounting Manager
Victoria Ashworth;Sales Representative
Patricio Simpson;Sales Agent
Francisco Chang;Marketing Manager
Yang Wang;Owner
Pedro Afonso;Sales Associate
Elizabeth Brown;Sales Representative
Sven Ottlieb;Order Administrator
Janine Labrune;Owner
Ann Devon;Sales Agent
Roland Mendel;Sales Manager
Aria Cruz;Marketing Assistant
Diego Roel;Accounting Manager
Martine Ranc;Assistant Sales Agent
Maria Larsson;Owner
Peter Franken;Marketing Manager
Carine Schmitt;Marketing Manager
Paolo Accorti;Sales Representative
Lino Rodriguez;Sales Manager
Eduardo Saavedra;Marketing Manager
Jos Pedro Freyre;Sales Manager
Andr Fonseca;Sales Associate
Howard Snyder;Marketing Manager
Manuel Pereira;Owner
Mario Pontes;Accounting Manager
Carlos Hernndez;Sales Representative
Yoshi Latimer;Sales Representative
Patricia McKenna;Sales Associate
Helen Bennett;Marketing Manager
Philip Cramer;Sales Associate
Daniel Tonini;Sales Representative
Annette Roulet;Sales Manager
Yoshi Tannamuri;Marketing Assistant
John Steel;Marketing Manager
Renate Messner;Sales Representative
Jaime Yorres;Owner
Carlos Gonzlez;Accounting Manager
Felipe Izquierdo;Owner
Fran Wilson;Sales Manager
Giovanni Rovelli;Marketing Manager
Catherine Dewey;Sales Agent
Jean Fresnire;Marketing Assistant
Alexander Feuer;Marketing Assistant
Simon Crowther;Sales Associate
Yvonne Moncada;Sales Agent
Rene Phillips;Sales Representative
Henriette Pfalzheim;Owner
Marie Bertrand;Owner
Guillermo Fernndez;Sales Representative
Georg Pipps;Sales Manager
Isabel de Castro;Sales Representative
Bernardo Batista;Accounting Manager
Lcia Carvalho;Marketing Assistant
Horst Kloss;Accounting Manager
Sergio Gutirrez;Sales Representative
Paula Wilson;Assistant Sales Representative
Maurizio Moroni;Sales Associate
Janete Limeira;Assistant Sales Agent
Michael Holz;Sales Manager
Alejandra Camino;Accounting Manager
Jonas Bergulfsen;Owner
Jose Pavarotti;Sales Representative
Hari Kumar;Sales Manager
Jytte Petersen;Owner
Dominique Perrier;Marketing Manager
Art Braunschweiger;Sales Manager
Pascale Cartrain;Accounting Manager
Liz Nixon;Marketing Manager
Liu Wong;Marketing Assistant
Karin Josephs;Marketing Manager
Miguel Angel Paolino;Owner
Anabela Domingues;Sales Representative
Helvetius Nagy;Sales Associate
Palle Ibsen;Sales Manager
Val2;IT
Valon Hoti;IT
Mary Saveley;Sales Agent
Paul Henriot;Accounting Manager
Rita Mller;Sales Representative
Pirkko Koskitalo;Accounting Manager
Paula Parente;Sales Manager
Karl Jablonski;Owner
Matti Karttunen;Owner/Marketing Assistant
Zbyszek Piestrzeniewicz;Owner
